Time,Total Number of Shock Candidates,Average Velocity Dispersion,Mach number
0.0,0,0.0,0.0
615465976600.0,0,219589.27790352714,0.4262508198548232
1229184968600.0,679,373393.1053218267,0.6795442087753815
1847355207000.0,1825,446202.90136425226,0.7850734166346341
2467354209000.0,2374,475600.60496238316,0.8305025256076597
3080915506400.0,2297,458779.1554305412,0.7980313141757223
3700009076000.0,2044,447722.8973227427,0.7817747509283545
4317937372000.0,2085,468694.37897190196,0.8172545027750361
4936668028000.0,2227,477660.4795592255,0.8163468401957542
5552232448000.0,2313,460525.90848530375,0.8117399524229867
6169957068000.0,2306,446579.06217481237,0.7846555379857777
6788641434000.001,2231,452409.7245808039,0.7767176195562214
7402119718000.0,2249,449643.8228320616,0.7770486192503797
8021992194000.0,2447,444679.48058242066,0.7851532037034777
8639914318000.0,2271,433180.1809739493,0.7599151220180901
9256799546000.0,2167,432142.6082626264,0.7586702207861187
9874190878000.0,2012,436731.3522302836,0.7466658631537477
10491162514000.0,1998,426349.6738035764,0.7614726833832817
11106927524000.0,1967,443517.8315024325,0.7729533640465686
11724735466000.0,2103,446323.52670167893,0.7797593528537994
12342561924000.0,1940,436215.30745806434,0.7883027159432543
12959265077999.998,2215,461166.4345391703,0.814034786441004
13576258316000.0,2418,459097.1755000184,0.7874324936171577
14192023326000.0,2167,429349.6307440516,0.7501379968180696
14810565736000.0,1977,435141.82379860844,0.7634314781123591
15428571182000.0,2022,445457.54655432235,0.7737211641172184
16047159882000.0,2175,458295.9173125246,0.7892517977620093
16662924892000.0,1985,437466.7313477342,0.7495583410165307
17280914908000.0,2028,434927.02440702927,0.7641126650424519
17894337644000.0,2126,458695.2692510403,0.8043999664640096
18515243930000.0,2363,472502.85166920646,0.8093795061435948
19132172362000.0,2064,462071.8940048003,0.7961195586065399
19746792466000.0,2232,460717.24713922694,0.822775578032772
20366998230000.0,2401,464221.6110259393,0.8033433573597123
20984704334000.0,2292,476631.8647884104,0.7958204405663599
21598710324000.0,2233,444777.1621311243,0.8026296549181072
22218425414000.0,2431,454475.24077083444,0.8450674585222027
22833996006000.0,2350,465883.66231767094,0.8405640695210777
23452485954000.0,2342,480778.783489833,0.8265495916450591
24069846426000.0,2338,487107.34440970945,0.836525216499475
24687120490000.0,2238,461629.8821215172,0.8221159234101153
25304727842000.0,2308,472150.14049128187,0.8172594697926349
25921850692000.0,2241,462155.506551944,0.8119188388952946
26536480054000.0,2125,457814.6351192927,0.8255126779329384
27154791014000.0,2379,464432.60267355293,0.8374114989604158
27771194826000.0,2481,461157.6614864586,0.8544721288957321
28388919446000.0,2445,483049.33650295,0.8506318514763976
29007372362000.004,2489,488826.92512891325,0.8528998931413599
29621424642000.0,2327,496088.9575172806,0.8570950224946631
30242664216000.0,2495,484386.31373450445,0.8499439730014694
30857923121999.996,2490,508945.21820020897,0.8608896839392506
31474762060000.004,2343,502388.92128834705,0.8675475368546979
32092887859999.996,2279,483077.700350982,0.8498372083615393
32709655820000.0,2225,483012.78748308524,0.8393065836658905
33327071840000.0,2370,478808.25196437346,0.852350275842066
33943068300000.0,2284,446758.1039005245,0.822458710446908
34561564420000.0,2169,422750.689411912,0.8005887264570912
35177128840000.0,2110,420312.5568133198,0.7730268859757973
35795717540000.0,2182,434385.56686602224,0.7867170586681094
36412423780000.0,2318,445772.6724904384,0.8197368180677499
37030642160000.0,2395,452975.43328740576,0.8357071547369311
37646576900000.0,2613,490189.96046370233,0.8378703935928047
38266122260000.0,2264,490650.1724144731,0.8378577903887922
38882890220000.0,2353,481475.7951266484,0.8415275087754924
39500522260000.0,2443,464650.58895335573,0.818501040297421
40116796460000.0,2214,478108.4798500196,0.8135151236924744
40734798820000.0,2289,471003.1522620269,0.7908984509487379
41352091400000.0,2102,461602.29383561073,0.7825993801549651
41968982800000.0,2394,463684.18136120756,0.8113011667228771
42586028500000.0,2252,461915.8307223698,0.8165815688664032
43200235080000.0,2181,439172.09131728305,0.835594383081385
43818237440000.0,2406,464516.9496099421,0.8297469883272978
44437998820000.0,2275,455662.645643597,0.7945243952569815
45052421420000.0,2168,442093.6335840097,0.7916885240202429
45670362060000.0,2184,464847.9812854615,0.8029838607489058
46289259360000.0,2090,443083.513286462,0.7942811376990624
46906953120000.0,2351,444612.65083338047,0.8152683551556333
47521776900000.0,2472,466672.8315551076,0.8221446158096914
48138853460000.0,2257,464568.72454416536,0.8230971094028855
48756115180000.0,2418,486457.0998622646,0.8180680621910434
49372420240000.0,2263,449526.32473256416,0.7913984097636418
49991626140000.0,2214,447514.4471555707,0.785039886407364
50608640980000.0,2093,434602.5837626159,0.766484771981354
51224699160000.01,2178,453708.96148032596,0.7701229017144227
51841189380000.0,2165,438952.1607284173,0.788355613757745
52459623780000.0,2127,441780.08530790434,0.7773878686216804
53076206580000.0,2204,462835.37143811636,0.8215423924611425
53693560880000.01,2565,488346.8391164277,0.8436329309713666
54311655820000.0,2657,481949.4549193952,0.8461239926998955
54928639800000.0,2508,460189.93077299243,0.8160218227976579
55546950759999.99,2267,463966.5235745211,0.8035678262311329
56162299160000.0,2301,467636.2820233513,0.8005936361071586
56781042160000.0,2142,466431.4176563055,0.8124513546099248
57398921080000.0,2175,444089.9389955415,0.7984665500954542
58014763240000.0,2309,453757.09744553984,0.8102047454997265
58633598820000.01,2208,456945.4237214901,0.8201094196206413
59249070660000.0,2220,449547.01830237504,0.8087005827759387
59866702700000.01,2459,454810.77501162275,0.81707464439647
60483285500000.01,2452,449914.444651736,0.8202133849165709
61101473020000.0,2275,453266.2339670952,0.784299022777163
61720000000000.0,1957,449819.9996439977,0.8028311581619667
