Time,Total Number of Shock Candidates,Average Velocity Dispersion,Mach number
0.0,0,0.0,0.0
56147733240.0,1597,73919.361956209,0.14867550165543664
120263302460.00002,2137,150021.4202635958,0.29720953120348736
184227688540.0,2418,216097.92663954405,0.416564737559529
242084664600.0,2883,268525.9600202376,0.5006722067873569
304692259920.0,6580,327478.5350211514,0.572592491404495
369704960200.0,12665,393774.2984758185,0.650294109213315
431680172400.0,5504,459365.50418693834,0.7338492164790321
493471767600.0,1700,521226.1674138136,0.8156216913110111
554914336200.0,2913,575129.0574376984,0.8922830977671682
615829507400.0,2378,620059.9167990353,0.9613305726715747
678043884600.0,4638,656896.7384366258,1.0193040690733794
739747837400.0,3095,689270.9766490865,1.0681354497857154
802078248200.0,1909,718516.4796751887,1.111798888804566
863901320600.0001,2544,738672.9881908847,1.1516454766848137
925217671800.0,924,753488.1032366073,1.1865817090670037
986730909800.0,463,762479.8730524129,1.2143163135049515
1048926462400.0,2463,762366.2272608855,1.2321527214235934
1110608813200.0,1870,767850.8596808132,1.252858567717423
1172255057800.0,4717,777418.9832497224,1.2731259494068448
1234028137000.0,2162,786974.1660746611,1.294074893095467
1295620993800.0,5350,797571.1691412143,1.308147017617439
1357017889600.0,1118,806108.8173155963,1.3209955665472066
1418759800200.0,150,818338.7110581398,1.3340461116386173
1480731617800.0,32,829744.160570529,1.3527973830617956
1542949081000.0,532,839805.2928775183,1.3808848404706238
1604444728800.0,658,853596.6018159585,1.4015534999394854
1665634245400.0,4010,867431.6205459454,1.4160162184533882
1727742155600.0002,5662,868722.5866066159,1.4315466975828182
1789724465599.9998,203,865746.8718414903,1.4450391914698426
1851283685000.0,1567,868945.8535188554,1.4544696872222018
1913224334000.0,4630,856036.0663325132,1.457282195253859
1974956678000.0,7405,846642.743083223,1.4517539021007344
2036104225000.0,7931,834593.2583428677,1.4450792648605562
2097993646399.9998,7833,824284.1943365702,1.4387493467133619
2159940776000.0,4698,825861.0425568968,1.4368786567781886
2221242005800.0,4041,828996.8310897434,1.4367174596410772
2283318747400.0,6412,825306.3128111442,1.4350959476436966
2344974558600.0,8865,829829.3212988392,1.4388039912143424
2407008404800.0,2706,834458.1707956447,1.4506938600800907
2468156260400.0,5252,842850.9656898493,1.457246639065823
2530074381600.0,1415,850055.3172530965,1.458378500475046
2592074281800.0,5241,851679.7126370586,1.464016633377568
2653441860600.0,1429,849709.9007278864,1.4720429971135864
2715094277200.0,3705,860075.3436539524,1.4761433228368943
2777008386600.0,3592,860338.5487436531,1.492035596902204
2838680862200.0,4148,856046.1675530517,1.506730711433387
2900685391400.0,375,867548.5248069713,1.5166899528599507
2962289357800.0,819,878621.0602992565,1.5297329687924488
3024046081200.0,3995,887052.7180909346,1.54267577472458
3085990742000.0,4679,883469.8078722643,1.5411215358820884
3147309562000.0,655,874600.1006491497,1.5349460870102576
3209313474000.0,68,861721.4888171403,1.5168575473495223
3270582917999.9995,159,852791.0787911534,1.5039706043707268
3332824452000.0,4335,853913.0948659573,1.5026610553304158
3394149444000.0005,3310,852393.4710262897,1.502696842012161
3455909562000.0,7975,847928.8777611634,1.5144645248339483
3517962850000.0,4411,846024.0235478535,1.5251833346790453
3579445228000.0005,8080,846596.7140574118,1.5350219733601178
3641029444000.0,3550,839380.7045593435,1.522311049982853
3703030270000.0,2097,832132.835964735,1.5074057848986204
3764889139999.9995,1602,814397.5553570043,1.5009080558785026
3826457926000.0,5029,809639.4391108272,1.4810598899551697
3888128550000.0,2517,810618.8146107137,1.4706535961338443
3949789916000.0,2109,810647.6114854101,1.4684351921695042
4011349444000.0,3519,816446.5146491879,1.4537621631621789
4073334839999.9995,2422,818741.8470204496,1.4510238520317318
4135039410000.0005,1739,828864.3894869784,1.4529297880265344
4196515616000.0,2402,837224.1901948,1.4553921219748123
4258664570000.0005,4429,851190.2465336577,1.4612271400493366
4319739596000.0,6643,846677.8014098293,1.473362597588878
4381882378000.0,2277,837547.7933012489,1.4723988448535412
4443778280000.0,1441,830186.9937582696,1.4763860561996227
4504881080000.0,586,814491.656371408,1.4715393509137784
4566449866000.0,6086,804142.7502898066,1.4680076160036488
4628231586000.0,3730,809565.653952983,1.4685022237911154
4689951586000.0,3671,813188.4082265592,1.4639021912937855
4752075852000.0,2634,812927.802942495,1.4542733389819624
4813536628000.0,3728,820030.4011759383,1.4506724398624526
4875636206000.0,4256,816351.4920233869,1.4591041001634624
4937454958000.0,3282,818703.6309588508,1.4695316939823204
4998736746000.0,1991,825145.8476048345,1.4799187166336165
5060296274000.0,1276,842535.4383978343,1.4948652988454056
5122241552000.0,1447,855504.0036589933,1.5121154026037122
5183720844000.0,5829,861202.2666353312,1.527700273367904
5245943862000.0,1380,862618.5455756221,1.535638515316262
5307636088000.0,4522,861397.6290604101,1.526496233494761
5369362260000.0,7169,850109.8009450629,1.5195387241234646
5431202614000.0,5154,842975.1363570291,1.5230132309372189
5492854722000.0,8154,829541.0458525948,1.5310639959121521
5554550034000.0,8836,822447.8329950304,1.5327748986808873
5616084874000.0,11069,819878.5848834565,1.5374990065775507
5678054840000.0,6486,829899.5188463733,1.5388601716859844
5739796442000.0,962,837733.8181748227,1.541214522988542
5801349798000.0,2821,847983.2386092152,1.5438384504954874
5863221012000.0,2941,853470.6906736875,1.5429503066628645
5924937926000.0,6324,854264.723719701,1.5467284589698056
5986580776000.0,4863,842229.9343249196,1.544162371252177
6048294604000.0,5573,822249.1657268712,1.5301077181878813
6109993002000.0,8685,806105.3624986825,1.5124927173914628
6172000000000.0,7995,798213.5716313669,1.4998635931116195
