Time,Total Number of Shock Candidates,Average Velocity Dispersion,Mach number
0.0,0,0.0,0.0
56147733240.0,0,73919.36195620905,0.07391936195620905
120263302460.00002,22,150021.42026359565,0.15002142026359563
184227688540.0,62,216097.92663954405,0.21609792663954405
242084664600.0,135,268525.96002023754,0.26852596002023754
304692259920.0,610,327478.5350211515,0.3274785350211515
369704960200.0,2065,393774.29847581824,0.39377429847581824
431680172400.0,3516,459365.50418693817,0.45936550418693817
493471767600.0,4504,521226.1674138137,0.5212261674138137
554914336200.0,5055,575129.0574376986,0.5751290574376986
615829507400.0,5436,620059.9167990354,0.6200599167990354
678043884600.0,5576,656896.7384366256,0.6568967384366255
739747837400.0,5784,689270.9766490869,0.6892709766490869
802078248200.0,5906,718516.4796751889,0.718516479675189
863901320600.0001,6088,738672.9881908852,0.7386729881908851
925217671800.0,6251,753488.1032366077,0.7534881032366078
986730909800.0,6469,762479.8730524129,0.7624798730524128
1048926462400.0,6639,762366.2272608858,0.7623662272608858
1110608813200.0,6815,767850.8596808136,0.7678508596808136
1172255057800.0,6849,777418.9832497226,0.7774189832497226
1234028137000.0,6919,786974.1660746611,0.7869741660746611
1295620993800.0,7003,797571.1691412143,0.7975711691412143
1357017889600.0,6989,806108.8173155964,0.8061088173155964
1418759800200.0,6997,818338.7110581395,0.8183387110581395
1480731617800.0,7220,829744.1605705288,0.8297441605705288
1542949081000.0,7249,839805.2928775181,0.8398052928775182
1604444728800.0,7098,853596.6018159589,0.8535966018159589
1665634245400.0,7081,867431.6205459456,0.8674316205459456
1727742155600.0002,7164,868722.5866066159,0.8687225866066159
1789724465599.9998,7130,865746.8718414905,0.8657468718414905
1851283685000.0,7138,868945.8535188554,0.8689458535188554
1913224334000.0,7269,856036.0663325134,0.8560360663325134
1974956678000.0,7350,846642.7430832229,0.8466427430832228
2036104225000.0,7277,834593.2583428682,0.8345932583428682
2097993646399.9998,7256,824284.1943365702,0.8242841943365702
2159940776000.0,7344,825861.0425568969,0.825861042556897
2221242005800.0,7118,828996.8310897433,0.8289968310897433
2283318747400.0,6978,825306.3128111437,0.8253063128111437
2344974558600.0,7136,829829.3212988387,0.8298293212988387
2407008404800.0,7187,834458.170795645,0.834458170795645
2468156260400.0,7075,842850.965689849,0.842850965689849
2530074381600.0,6975,850055.3172530963,0.8500553172530962
2592074281800.0,7136,851679.7126370585,0.8516797126370584
2653441860600.0,7207,849709.9007278866,0.8497099007278865
2715094277200.0,7196,860075.343653952,0.860075343653952
2777008386600.0,7192,860338.5487436536,0.8603385487436536
2838680862200.0,7221,856046.1675530523,0.8560461675530523
2900685391400.0,7151,867548.524806971,0.867548524806971
2962289357800.0,7201,878621.0602992565,0.8786210602992565
3024046081200.0,7178,887052.7180909343,0.8870527180909343
3085990742000.0,7124,883469.8078722648,0.8834698078722648
3147309562000.0,7239,874600.1006491497,0.8746001006491497
3209313474000.0,7359,861721.4888171401,0.8617214888171401
3270582917999.9995,7475,852791.0787911541,0.8527910787911541
3332824452000.0,7355,853913.0948659577,0.8539130948659578
3394149444000.0005,7187,852393.4710262896,0.8523934710262896
3455909562000.0,7137,847928.8777611629,0.8479288777611629
3517962850000.0,7326,846024.0235478539,0.8460240235478539
3579445228000.0005,7451,846596.7140574115,0.8465967140574115
3641029444000.0,7519,839380.7045593433,0.8393807045593433
3703030270000.0,7498,832132.8359647349,0.8321328359647349
3764889139999.9995,7577,814397.5553570046,0.8143975553570046
3826457926000.0,7459,809639.4391108272,0.8096394391108271
3888128550000.0,7388,810618.8146107136,0.8106188146107136
3949789916000.0,7350,810647.61148541,0.81064761148541
4011349444000.0,7392,816446.5146491883,0.8164465146491883
4073334839999.9995,7383,818741.8470204503,0.8187418470204503
4135039410000.0005,7437,828864.3894869789,0.8288643894869788
4196515616000.0,7355,837224.1901947998,0.8372241901947998
4258664570000.0005,7371,851190.2465336578,0.8511902465336578
4319739596000.0,7133,846677.8014098292,0.8466778014098292
4381882378000.0,7201,837547.7933012485,0.8375477933012485
4443778280000.0,7313,830186.9937582702,0.8301869937582702
4504881080000.0,7294,814491.6563714078,0.8144916563714077
4566449866000.0,7328,804142.7502898067,0.8041427502898068
4628231586000.0,7420,809565.6539529827,0.8095656539529827
4689951586000.0,7403,813188.4082265584,0.8131884082265584
4752075852000.0,7475,812927.8029424951,0.8129278029424951
4813536628000.0,7551,820030.4011759384,0.8200304011759384
4875636206000.0,7385,816351.4920233872,0.8163514920233872
4937454958000.0,7430,818703.6309588514,0.8187036309588515
4998736746000.0,7672,825145.8476048345,0.8251458476048344
5060296274000.0,7712,842535.4383978344,0.8425354383978344
5122241552000.0,7726,855504.0036589928,0.8555040036589928
5183720844000.0,7477,861202.2666353312,0.8612022666353312
5245943862000.0,7433,862618.5455756218,0.8626185455756218
5307636088000.0,7470,861397.6290604102,0.8613976290604102
5369362260000.0,7438,850109.8009450623,0.8501098009450623
5431202614000.0,7429,842975.1363570289,0.8429751363570288
5492854722000.0,7257,829541.0458525951,0.8295410458525951
5554550034000.0,7390,822447.8329950306,0.8224478329950305
5616084874000.0,7217,819878.584883457,0.819878584883457
5678054840000.0,7357,829899.5188463739,0.8298995188463739
5739796442000.0,7457,837733.8181748225,0.8377338181748225
5801349798000.0,7396,847983.2386092156,0.8479832386092155
5863221012000.0,7249,853470.6906736871,0.8534706906736872
5924937926000.0,7198,854264.7237197001,0.8542647237197001
5986580776000.0,7438,842229.9343249197,0.8422299343249197
6048294604000.0,7500,822249.1657268715,0.8222491657268715
6109993002000.0,7395,806105.3624986825,0.8061053624986825
6172000000000.0,7251,798213.5716313673,0.7982135716313673
